-13,-3,8:-4,2,6,10,6,16,16
-13,-7,-2:-4,2,6,10,14,10,10
-3,1,-1:-4,4,-10,-12,-14,-2,-4
-3,19,-9:-4,4,-10,-8,2,-8,-4
-3,5,-3:-4,4,-10,-6,0,-4,0
-3,10,-5:-4,4,-10,-2,-20,-14,-10
-3,18,-6:-4,4,-10,-2,-18,-20,-16
-3,13,3:-4,4,-10,-2,-16,-8,-16
-5,18,-7:-4,4,-10,0,-14,-26,0
-3,17,11:-4,4,-10,0,-8,2,-30
-3,14,7:-4,4,-10,2,-16,-26,-46
-3,13,1:-4,4,-10,2,-6,-16,-4
-4,0,13:-4,4,-10,6,4,0,8
-3,12,-1:-4,4,-8,-16,-16,-8,2
-3,9,-9:-4,4,-8,-14,-20,-22,-10
-3,2,-7:-4,4,-8,-14,-18,0,-2
-13,-10,0:-4,4,-8,-14,-12,-6,12
-3,12,2:-4,4,-8,-12,-4,-14,2
-3,2,0:-4,4,-8,-6,0,-16,-6
-6,19,-12:-4,4,-4,-26,-12,-22,-10
-6,3,-14:-4,4,-4,-26,-12,-18,-24
-6,13,-8:-4,4,-4,-26,-12,-8,-10
-6,7,-17:-4,4,-4,-26,-10,-18,-18
-6,6,-16:-4,4,-4,-26,-10,-16,-26
-6,7,-16:-4,4,-4,-22,-22,-16,-18
-6,9,1:-4,4,-4,-22,-22,-10,0
-6,15,-17:-4,4,-4,-16,-22,-26,-24
-6,22,-8:-4,4,-4,-16,-14,-32,-22
-6,25,-15:-4,4,-4,-12,-10,-42,-28
-6,13,-15:-4,4,-4,-12,-10,-40,-32
-5,-5,-6:-4,4,-2,-14,-4,-14,-6
-4,-3,3:-4,4,-2,-14,2,12,10
-15,-9,-1:-4,4,-2,-12,6,-12,14
-8,-4,-3:-4,4,-2,-12,6,-2,8
-3,17,-6:-4,4,-2,-8,-12,-10,-4
-4,0,5:-4,4,-2,-8,2,6,-16
-3,14,4:-4,4,-2,-8,6,2,-2
-4,5,6:-4,4,-2,2,6,-16,2
-4,4,11:-4,4,-2,2,12,2,-22
-4,12,-8:-4,4,-2,2,12,2,6
-4,13,0:-4,4,-2,2,12,10,4
-5,2,10:-4,4,-2,6,0,-24,6
-3,5,-1:-4,4,-2,6,2,-28,-2
-4,18,-10:-4,4,-2,6,4,0,-22
-3,7,16:-4,4,4,-6,8,14,2
-3,6,-4:-4,4,4,6,-14,-14,8
-6,7,9:-4,4,6,2,-16,-10,12
-3,7,14:-4,4,6,4,-8,0,12
-8,18,11:6,-4,-4,-14,-12,-2,14
-8,-2,13:6,-4,-4,-14,10,20,-8
-3,-3,10:6,-4,-4,-6,-14,2,10
-3,3,7:6,-4,-4,-6,-14,6,4
-4,7,-2:6,-4,-4,-6,-6,-14,4
-3,7,-5:6,-4,-4,0,4,6,-14
-3,7,15:6,-4,-4,0,6,-2,14
-5,-2,13:6,-4,6,-4,-4,-14,-8
-5,18,11:6,-4,6,-4,-4,-14,14
-3,5,3:6,-4,6,6,-2,16,4
-3,1,6:6,-4,6,6,8,6,8
-3,-2,10:6,-4,6,6,14,6,10
-3,10,19:6,-4,6,6,16,-16,14
-11,-3,-8:6,6,-4,-4,-8,-16,-2
-12,-9,18:6,6,-4,0,10,-2,4
-12,11,16:6,6,-4,0,10,-2,26
-7,17,7:6,6,-4,0,16,-8,4
-6,17,7:6,6,-4,0,16,-8,12
-6,-2,11:6,6,-2,-4,-4,12,-8
-7,13,8:6,6,-2,-4,-2,10,2
-7,1,10:6,6,-2,-4,4,-2,18
-13,-5,9:6,6,-2,-4,10,2,-8
-9,1,7:6,6,-2,-4,14,-8,16
-6,25,4:6,6,-2,-4,16,-10,0
-6,-4,6:6,6,-2,-2,-4,16,-8
