0,2,2:-4
-6,19,11:-4,6,-4,-4,-14,-12,16
-11,-8,-2:-4,-4,6,6,10,18,4
-1,18,-8:-4,-4,6,2,-8,4,-2
-1,16,12:-4,-4,6,2,-8,4,-24
-2,3,-2:-4,-4,6,2,-14,14,-6
-2,7,18:-4,-4,6,2,-14,10,-2
-3,1,1:-4,-4,4,6,6,8,-14
-4,11,-1:-4,-4,4,6,6,-10,10
-1,1,1:-4,-4,4,6,6,-14,6
-2,0,6:-4,-4,4,6,6,-14,2
-1,8,14:-4,-4,4,6,4,-8,0
-2,10,2:-4,-4,4,6,-2,4,-16
-9,9,-4:-4,-4,4,6,-8,0,10
-1,5,13:-4,-4,4,6,-8,-4,2
-3,7,2:-4,-4,4,6,-12,10,-14
-24,4,26:-4,-4,4,6,-14,12,2
-2,3,8:-4,-4,4,6,-14,4,10
-1,6,-3:-4,-4,4,4,6,-14,10
-1,8,16:-4,-4,4,4,-6,10,2
-2,11,6:-4,-4,4,-2,-8,0,-12
-4,6,-15:-4,-4,4,-4,-10,-16,-24
-4,13,-14:-4,-4,4,-4,-12,-10,-38
-4,8,-16:-4,-4,4,-4,-14,-10,-20
-4,11,-8:-4,-4,4,-4,-16,-26,-26
-4,6,-9:-4,-4,4,-4,-20,-20,-22
-1,12,3:-4,-4,4,-8,2,-12,-4
-1,2,1:-4,-4,4,-8,0,-6,-16
-1,13,2:-4,-4,4,-10,2,-4,-6
-1,11,-5:-4,-4,4,-10,-2,-14,-20
-1,10,2:-4,-4,4,-10,-10,-12,2
-5,2,-2:-4,-4,4,-12,-6,2,-6
-1,10,9:-4,-4,4,-12,-14,-6,-10
-4,-2,10:-4,-4,4,-14,2,10,8
-7,16,4:-4,-4,0,8,12,14,-16
-8,-7,10:-4,-4,0,8,12,12,-8
-1,10,10:-4,-4,0,8,4,-4,-6
-1,8,9:-4,-4,0,8,4,-10,-6
-4,7,16:-4,-4,0,6,-2,14,14
-6,16,4:-4,-4,0,6,-2,-16,10
-1,7,7:-4,-4,0,6,-8,0,-6
-1,7,-2:-4,-4,0,4,10,-4,-4
-1,9,-4:-4,-4,0,4,6,-8,-8
-1,7,-4:-4,-4,0,4,6,-14,-6
-1,8,-8:-4,-4,0,4,6,-18,-18
-2,12,4:-4,-4,0,4,-4,2,8
-1,12,5:-4,-4,0,4,-4,2,-4
-1,9,8:-4,-4,0,4,-6,-8,-10
-1,4,8:-4,-4,0,4,-8,6,10
-1,11,13:-4,-4,0,2,-2,-14,-6
-1,11,11:-4,-4,0,2,-4,-10,-6
-1,13,5:-4,-4,0,0,10,8,10
-1,16,4:-4,-4,0,0,10,-16,12
-6,2,0:-4,-4,0,-2,4,2,-6
-1,10,-12:-4,-4,0,-4,-8,-14,-18
-2,6,10:-4,-4,0,-8,2,6,-6
-1,9,5:-4,-4,0,-8,-4,6,-14
-1,4,-7:-4,-4,0,-8,-4,-12,0
-1,11,4:-4,-4,0,-8,-10,-4,-4
-1,12,15:-4,-4,-4,10,6,-4,-4
-1,10,-1:-4,-4,-4,8,2,-8,-8
-1,7,13:-4,-4,-4,8,-8,-6,-8
-1,18,0:-4,-4,-4,8,-8,-8,-16
-1,15,17:-4,-4,-4,4,-2,-4,-4
-15,-11,6:-4,-4,-6,6,-2,22,-6
-1,13,-5:-4,-4,-6,6,-8,-20,-2
-1,22,-6:-4,-4,-6,0,-2,-6,-24
-1,2,-10:-4,-4,-6,0,-2,-8,-22
-8,16,3:-4,-4,-6,0,-8,-20,12
-7,16,3:-4,-4,-6,0,-8,-20,10
-1,8,2:-4,-4,-6,-4,0,0,-10
-1,5,-1:-4,-4,-6,-4,-8,-12,-4
-1,10,-10:-4,-4,-6,-4,-8,-14,-16
-1,6,0:-4,-4,-6,-4,-10,-6,-10
-1,6,-1:-4,-4,-6,-4,-10,-10,-2
-6,3,-4:-4,-4,-6,-6,2,0,4
-7,-3,0:-4,-4,-6,-6,0,-6,6
-7,9,3:-4,-4,-6,-6,-4,2,8
-5,8,-2:-4,-4,-6,-6,-14,-14,4
-1,12,1:-4,-4,-6,-8,-2,-12,-20
-1,6,-9:-4,-4,-6,-8,-2,-20,-20
